Year,Total_wage_index_of_employed,Surveyed_jobless_rate_in_urban,Consumer_price_index,Per_capita_disposable_income,Number_of_graduates_from_regular_universities,Average_sales_price_of_commercial_housing,Birth_rate
2003/3/1,114.90841,4.2,103.9,5660.90387,239.1,3704,12.29
2003/5/30,115.90330501246011,4.20761178667284,103.5085021588923,5818.9037242287,251.49431137132248,3781.152156566284,12.391016895248523
2003/8/28,116.55363146326856,4.211631045269034,103.08706598566792,5963.239455883157,264.2322093818264,3852.5549207308463,12.446415921554417
2003/11/26,116.92643311432751,4.212036218021399,102.65854793154158,6098.208425379488,277.25833570026765,3921.4507957324204,12.463357233412921
2004/2/24,117.08875372753903,4.208805747162746,102.24580444772796,6228.107993133818,290.5173319954026,3991.082284809739,12.449000985319275
2004/5/24,117.1076370648052,4.201918074925879,101.87169198544139,6357.235519562422,303.95383993600313,4064.6918912016245,12.410507331768661
2004/8/22,117.05012688802812,4.191351643543632,101.55906699589748,6489.88836508112,317.5125011907937,4145.522118146639,12.355036427256417
2004/11/20,116.98326695911,4.177084895248808,101.33078593031048,6630.363890106186,331.137957428546,4236.8154688835975,12.289748426277747
2005/2/18,116.97410103995294,4.159096272274226,101.20970523989509,6782.959455053742,344.77485031801626,4341.814446651233,12.221803483327896
2005/5/19,117.08967289245903,4.137364216852697,101.21868137586603,6951.972420339909,358.36782152796053,4463.761554688282,12.158361752902097
2005/8/17,117.39702627853038,4.111867171217036,101.38057078943798,7141.70014638081,371.8615127271349,4605.89929623347,12.106583389495595
2005/11/15,117.95717783585177,4.082724935130759,101.71626373644771,7356.1415390109905,385.2066440344745,4770.761798187546,12.073254197251895
2006/2/13,118.73298947293077,4.052359386370504,102.21462999864221,7594.435022088869,398.4529261670197,4949.3469248650545,12.059063497802022
2006/5/14,119.60746709859608,4.025065310341689,102.83848837693391,7851.764664441998,411.7306058815599,5123.266953262411,12.05974068155779
2006/8/12,120.46129814864912,4.0051918689003125,103.54990132961048,8123.199727425529,425.1722681516321,5273.861666998838,12.070871136391505
2006/11/10,121.17517005889206,3.997088223902369,104.31093131496047,8403.80947239495,438.9104979507901,5382.470849693653,12.088040250175485
2007/2/8,121.63096685461568,4.005028525165407,105.0829809586024,8688.658773598321,453.0707837683337,5430.865293706583,12.106855188326437
2007/5/9,121.76710182092343,4.029743205097644,105.79628108282981,8972.605249679902,467.44336211093815,5421.1774987902145,12.12395193063483
2007/8/7,121.60180390171742,4.066959196316703,106.33704993968524,9250.21388777398,481.3451153682815,5384.2893786337,12.137419076247806
2007/11/5,121.15933034014382,4.112025528225984,106.58818160963942,9516.027573207572,494.057174546059,5353.254226238343,12.145454937422723
2008/2/3,120.46393837934883,4.16029123022889,106.43257017316311,9764.58919130769,504.8606706499658,5361.125334605441,12.146257826416937
2008/5/3,119.53993962056875,4.2071066046397,105.75336570464809,9990.452460702141,513.0379248087656,5440.914568716821,12.138027627096546
2008/8/1,118.43286545279992,4.248318860463473,104.53365072026841,10192.400099660255,518.335846934192,5609.461522247806,12.119577732819364
2008/10/30,117.24158060446494,4.281024120855706,103.00767569779718,10379.843899459327,521.6690339825402,5842.958764283531,12.091263517962624
2009/1/28,116.07319612757901,4.302511614266525,101.44852634096013,10563.839103229742,524.1326289874337,6111.314079917529,12.05367877577243
2009/4/28,115.03482307415615,4.3100705691460535,100.12928835348158,10755.440954102129,526.8217749825002,6384.435254243649,12.007417299494842
2009/7/27,114.23357249621405,4.3009902139444005,99.32304743909071,10965.704695206437,530.8316150013582,6632.230072354744,11.953072882376079
2009/10/25,113.77115288557637,4.2739375091428045,99.23597997084988,11203.872905861024,537.0048259613027,6830.345213662003,11.893297792547633
2010/1/23,113.72395981273796,4.2340345811603495,99.76076824426418,11470.695188931712,545.0011909818271,6981.316124246501,11.840388987140386
2010/4/23,114.16098163432524,4.188292504516362,100.69835809942575,11764.435883250935,554.1343479378811,7095.5465970619525,11.809465708124703
2010/7/22,115.15120578059972,4.143722589966796,101.8496839036334,12083.359016837705,563.7178914146131,7183.441409097449,11.815647550433036
2010/10/20,116.76361968182287,4.107336148267606,103.01568002418591,12425.72861771105,573.0654159971715,7255.40533734208,11.874054108997832
2011/1/18,119.03094662619878,4.085401787433741,104.01008741738328,12789.560439004394,581.5426858296992,7321.253755483322,11.998344619654441
2011/4/18,121.65603043768378,4.077432064781038,104.76314312846785,13170.61178289662,588.9900293282177,7385.4404862569045,12.188894053142464
2011/7/17,124.16562768485024,4.0793332069689106,105.2672689664763,13563.434406896196,595.501093860656,7449.5573955506325,12.438986336247494
2011/10/15,126.08484296187089,4.0869776076237585,105.51547013097942,13962.568758613847,601.1719033236927,7515.169499612187,12.741838870650879
2012/1/13,126.93878086291178,4.096237660371948,105.50075182154721,14362.555285658873,606.0984816139875,7583.841814689024,13.090669058032843
2012/4/12,126.28331256281852,4.103110752159402,105.21871433043302,14758.06105138151,610.3769182360957,7657.176451498714,13.477615351215842
2012/7/11,124.30160904975082,4.106142758723957,104.71786929458852,15146.334687444378,614.1046403735479,7737.531839905397,13.872817514739339
2012/10/9,121.76251394153584,4.1062589286340305,104.09612853526505,15527.035082727403,617.3803241213997,7827.972540102087,14.225876442666134
2013/1/7,119.4572996933104,4.104475630587981,103.45329569627926,15899.913428984619,620.3026934028484,7931.590154150349,14.48560647534096
2013/4/7,118.17723876021132,4.1018092332841665,102.88917442144783,16264.720917970053,622.9704721410912,8051.476284111749,14.600821953108536
2013/7/6,118.70412498381053,4.099271097032513,102.5027000418509,16621.224971629836,625.4823615117981,8190.626563766495,14.52109944041358
2013/10/4,121.17200306294457,4.097530319079782,102.33346916493882,16970.30215017682,627.9355081709375,8345.478350037696,14.248104344015294
2014/1/2,124.6626160608692,4.0966999728088656,102.32467960454062,17314.630865706273,630.4245333776607,8501.81474342728,13.86812306103278
2014/4/2,128.16129725379758,4.096842189799944,102.41069730836436,17657.054612406664,633.0438270192783,8644.442722612574,13.475194795749877
2014/7/1,130.65337991792978,4.098019101633198,102.5258882241176,18000.416884465252,635.8877789830916,8758.1692662704,13.163358752451881
2014/9/29,131.12457597173628,4.100292581925723,102.60463465950927,18347.560214746376,639.0507440750988,8827.808820318603,13.026615391730246
2014/12/28,128.9974085070862,4.103426911630851,102.6001922283609,18700.218128545857,642.5866064221484,8846.790225975823,13.114269482099672
2015/3/28,124.97250755338956,4.106315617308985,102.52103972774967,19056.879201504227,646.4308331807056,8833.747994707493,13.344846458576892
2015/6/26,119.98303681596121,4.107693803941041,102.38570304034513,19415.441636070766,650.4973471961893,8811.90245704001,13.613078286119588
2015/9/24,114.962160000116,4.1062965765079396,102.2127080488168,19773.803634694752,654.7000713140183,8804.473943499772,13.813696929685435
2015/12/23,110.84304081116873,4.100859039990595,102.02058063583418,20129.86339982547,658.9529283796118,8834.682784613178,13.841434354232113
2016/3/22,108.39000194006326,4.090610733953844,101.827661987197,20481.864807273123,663.180078729586,8921.56887115055,13.617415316691709
2016/6/20,107.43934190675276,4.077498827008745,101.65127811380732,20829.951705051993,667.3619524364193,9061.194565859976,13.20783091930011
2016/9/18,107.51019380850984,4.064399276037253,101.50840807614742,21174.917283624978,671.498210552905,9241.769335395971,12.728450745288427
2016/12/17,108.1214158132114,4.054188843025516,101.41603063395209,21517.555296325085,675.5885308018659,9451.495839264388,12.295087354143556
2017/3/17,108.79186608873468,4.0497442899596345,101.39112454695558,21858.659496486547,679.6325909061397,9678.576736971712,12.023553305350598
2017/6/15,109.07528268278502,4.053400525093569,101.44786463161572,22199.179905990586,683.6370140783914,9911.360219181024,12.018089055475876
2017/9/13,108.90611348297242,4.061578186086377,101.56982098897207,22541.77219977562,687.6842327466574,10139.782932240323,12.256626900864838
2017/12/12,108.45315408111144,4.067057353956105,101.72172484582376,22890.141975414626,691.903344052407,10354.75930374719,12.639349565176579
2018/3/12,107.88862931528101,4.062564836891421,101.86803175680431,23248.010194161187,696.4241279890908,10547.218069323737,13.065302050526913
2018/6/10,107.38476402356007,4.040827443080996,101.97319727654727,23619.097817268863,701.3763645501595,10708.08796459206,13.433529359031665
2018/9/8,107.10923809516423,3.995082562130605,102.00287146926038,24006.96421941596,706.8832284008932,10828.839068053107,13.64551125803426
2018/12/7,107.11105152004662,3.9319001321454037,101.95389600992694,24410.94934860485,712.8954126879883,10915.077264849402,13.666305280135761
2019/3/7,107.31208911343559,3.8721302620307654,101.85652115475001,24825.873826798474,719.1788697679391,10987.548961326294,13.529065567300258
2019/6/5,107.62800119280381,3.837323446723988,101.74263571901982,25246.33662084821,725.4904911903993,11067.74314665311,13.270286131489188
2019/9/3,107.97443807562455,3.849030181162129,101.6441285180262,25666.936697606896,731.5871685050455,11177.14880999941,12.926460984663537
2019/12/2,108.26741735338561,3.9286516471252404,101.59275680772194,26082.318422961504,737.2262065375985,11337.12743681524,12.534050398838719
2020/3/1,108.46210508934398,4.08167343835398,101.60625467118996,26491.96533669636,742.2089620347175,11555.449636089967,12.125918237742843
2020/5/30,108.5870075601933,4.283765102878159,101.67608537058818,26904.426621019476,746.4193180113391,11814.425054088919,11.72819090283596
2020/8/28,108.67869344179674,4.507318466303392,101.7908241775045,27329.24805774662,749.7502297182946,12093.564375428658,11.366254136291102
2020/11/26,108.77373141001738,4.724725354235292,101.93904636352693,27775.97542869359,752.0946524064148,12372.378284725753,11.065493680281294
2021/2/24,108.90868749635563,4.9083785471657055,102.10932719505766,28254.153640804638,753.3455620981164,12630.378209472688,10.851293552705114
2021/5/25,109.09898340757061,5.038306095912664,102.29020047382589,28766.332128270504,753.5620244157418,12853.015612955773,10.735250472905816
2021/8/23,109.28778363762086,5.120628317635368,102.47005830293786,29291.154460726422,753.3706885631708,13046.041042762015,10.681845360698814
2021/11/21,109.40283075676594,5.167034426008817,102.63726254263106,29802.161957043038,753.5193436325745,13219.537498797652,10.645503167268478
2022/2/19,109.37186733526616,5.189213634708322,102.78017505314362,30272.895936092864,754.7557787161227,13383.587980969589,10.580648843799008
2022/5/20,109.12263594338162,5.19885515740907,102.88715769471348,30676.897716747822,757.8277829059856,13548.275489184505,10.441707341474695
2022/8/18,108.60559116487107,5.2062675070478575,102.94716898480628,30994.44049127972,763.3147354555917,13722.49842521101,10.191563887760301
